Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason
2025-09-03,ZBIO,17.0,17.03,297.5,0.0,MANUAL BUY LIMIT - Filled
2025-09-03,HOFT,25.0,10.15,253.75,0.0,MANUAL BUY LIMIT - Filled
2025-09-03,MNTK,120.0,2.09,250.8,0.0,MANUAL BUY LIMIT - Filled
2025-09-03,MLGO,22.0,8.96,197.01,0.0,MANUAL BUY LIMIT - Filled
